runs,country,dayofyear,time,residual,subset
h087,NOR,334,2009-11-30 12:00:00,0.47710819850253855,all sets
h088,NOR,334,2009-11-30 12:00:00,-0.501805639266662,all sets
h089,NOR,334,2009-11-30 12:00:00,0.22243986108418543,all sets
h090,NOR,334,2009-11-30 12:00:00,0.13317672040153306,all sets
h091,NOR,334,2009-11-30 12:00:00,0.020527785540753653,all sets
h092,NOR,334,2009-11-30 12:00:00,0.10922249947821022,all sets
h093,NOR,334,2009-11-30 12:00:00,-0.4321384976190205,all sets
h094,NOR,334,2009-11-30 12:00:00,0.011557319670727817,all sets
h095,NOR,334,2009-11-30 12:00:00,0.25757654352791387,all sets
h096,NOR,334,2009-11-30 12:00:00,0.22064564630975514,all sets
h097,NOR,334,2009-11-30 12:00:00,0.012071260336119312,all sets
h098,NOR,334,2009-11-30 12:00:00,0.27600649335766286,all sets
h099,NOR,334,2009-11-30 12:00:00,-0.13978824084691693,all sets
h100,NOR,334,2009-11-30 12:00:00,0.3117172104284523,all sets
h101,NOR,334,2009-11-30 12:00:00,-0.22352954133076475,all sets
h102,NOR,334,2009-11-30 12:00:00,0.16615985849007187,all sets
h103,NOR,334,2009-11-30 12:00:00,0.16711585185497577,all sets
h104,NOR,334,2009-11-30 12:00:00,-0.11572940199418513,all sets
h105,NOR,334,2009-11-30 12:00:00,0.043467597778459995,all sets
h106,NOR,334,2009-11-30 12:00:00,0.08298145150603559,all sets
h107,NOR,334,2009-11-30 12:00:00,-0.5668192216341355,all sets
h108,NOR,334,2009-11-30 12:00:00,-0.021727264827926546,all sets
h109,NOR,334,2009-11-30 12:00:00,0.0879024559969084,all sets
h110,NOR,334,2009-11-30 12:00:00,-0.03928907179790778,all sets
h111,NOR,334,2009-11-30 12:00:00,0.2339728194326445,all sets
h112,NOR,334,2009-11-30 12:00:00,-0.24960228235686002,all sets
h113,NOR,334,2009-11-30 12:00:00,-0.39654711479864174,all sets
h114,NOR,334,2009-11-30 12:00:00,-0.3870170443185467,all sets
h115,NOR,334,2009-11-30 12:00:00,-0.18263988281413196,all sets
h116,NOR,334,2009-11-30 12:00:00,-0.0392348432521258,all sets
h117,NOR,334,2009-11-30 12:00:00,-0.06611094965726955,all sets
h118,NOR,334,2009-11-30 12:00:00,0.46393276687126606,all sets
h119,NOR,334,2009-11-30 12:00:00,0.11284294122763458,all sets
h120,NOR,334,2009-11-30 12:00:00,-0.008845873759974213,all sets
h121,NOR,334,2009-11-30 12:00:00,-0.29765606221412716,all sets
h122,NOR,334,2009-11-30 12:00:00,-0.07577340162669817,all sets
h123,NOR,334,2009-11-30 12:00:00,-0.3355741132086368,all sets
h124,NOR,334,2009-11-30 12:00:00,-0.16032719330960174,all sets
h125,NOR,334,2009-11-30 12:00:00,-0.049564138412249055,all sets
h126,NOR,334,2009-11-30 12:00:00,0.0007042959271811249,all sets
h127,NOR,334,2009-11-30 12:00:00,-0.12564511936916137,all sets
h128,NOR,334,2009-11-30 12:00:00,-0.007391726380301713,all sets
h129,NOR,334,2009-11-30 12:00:00,-0.08927909101428792,all sets
h130,NOR,334,2009-11-30 12:00:00,-0.24407368410148267,all sets
h131,NOR,334,2009-11-30 12:00:00,-0.446360206410027,all sets
h132,NOR,334,2009-11-30 12:00:00,-0.3388304913251997,all sets
h133,NOR,334,2009-11-30 12:00:00,-0.6577646222527165,all sets
h134,NOR,334,2009-11-30 12:00:00,-0.5445371137912701,all sets
h135,NOR,334,2009-11-30 12:00:00,-0.1514669607013885,all sets
h136,NOR,334,2009-11-30 12:00:00,-0.08759913791720575,all sets
h137,NOR,334,2009-11-30 12:00:00,-0.17273292473064053,all sets
h138,NOR,334,2009-11-30 12:00:00,0.25676568287801554,all sets
h139,NOR,334,2009-11-30 12:00:00,-0.375352062536073,all sets
h140,NOR,334,2009-11-30 12:00:00,0.4215380835008685,all sets
h141,NOR,334,2009-11-30 12:00:00,0.4582125164441896,all sets
h142,NOR,334,2009-11-30 12:00:00,0.5900182953906914,all sets
h143,NOR,334,2009-11-30 12:00:00,0.4928094704707967,all sets
h144,NOR,334,2009-11-30 12:00:00,0.5255743994030875,all sets
h145,NOR,334,2009-11-30 12:00:00,0.6632862906710222,all sets
h146,NOR,334,2009-11-30 12:00:00,0.4220919535286783,all sets
h147,NOR,334,2009-11-30 12:00:00,0.48244672224590346,all sets
h148,NOR,334,2009-11-30 12:00:00,0.12299697251079607,all sets
h149,NOR,334,2009-11-30 12:00:00,0.04108612265584718,all sets
h150,NOR,334,2009-11-30 12:00:00,0.23322555312474288,all sets
h151,NOR,334,2009-11-30 12:00:00,-0.08965706471683516,all sets
h152,NOR,334,2009-11-30 12:00:00,0.32723826793838623,all sets
h153,NOR,334,2009-11-30 12:00:00,0.21224908112313437,all sets
h154,NOR,334,2009-11-30 12:00:00,0.23881408148975022,all sets
h155,NOR,334,2009-11-30 12:00:00,-0.487318182645869,all sets
h156,NOR,334,2009-11-30 12:00:00,0.25171589160077973,all sets
h157,NOR,334,2009-11-30 12:00:00,0.10006214327714584,all sets
h158,NOR,334,2009-11-30 12:00:00,0.5141977724050868,all sets
h159,NOR,334,2009-11-30 12:00:00,0.11538566529314034,all sets
h160,NOR,334,2009-11-30 12:00:00,-0.2551508551278837,all sets
h161,NOR,334,2009-11-30 12:00:00,-0.19614381216774637,all sets
h162,NOR,334,2009-11-30 12:00:00,-0.07679502158205141,all sets
h163,NOR,334,2009-11-30 12:00:00,0.16314371319047244,all sets
h164,NOR,334,2009-11-30 12:00:00,-0.2410652572703891,all sets
h165,NOR,334,2009-11-30 12:00:00,-0.3117799620582139,all sets
h166,NOR,334,2009-11-30 12:00:00,-0.2181520613574591,all sets
h167,NOR,334,2009-11-30 12:00:00,0.22236528145638423,all sets
h168,NOR,334,2009-11-30 12:00:00,0.4346256544009555,all sets
h169,NOR,334,2009-11-30 12:00:00,-0.17474264124860742,all sets
h046,NOR,334,2009-11-30 12:00:00,0.4769055589384702,sets with events
h146,NOR,334,2009-11-30 12:00:00,0.4220919535286783,sets with events
